,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,28.03.22 09:00,"A peek behind the pouch: this week’s Berry Almond batch is being packed, sealed, and quality-checked before it heads out.",,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,28.03.22 08:30,Drop the comfort show you’ve rewatched more times than you can count. We need something cozy for the next rainy afternoon.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_comfort_show.png ,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,28.03.22 09:01,"Lunch, built your way: turkey, provolone, spinach, tomatoes, red onion, pickles, and a swipe of chipotle. What are you adding?",https://raw.githubusercontent.com/aarushi73/off-topic1A/main/subway_sandwich.png,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28.03.22 08:31,"Bread first, then the good stuff. Watching a sandwich go from an empty roll to exactly your order never gets old.",,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28.03.22 09:01,Choose your lunch side. Which one gets the spot next to your sub?,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28.03.22 08:31,Toasted or not toasted? One choice changes the whole sandwich. Tell us your usual order.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,28.03.22 09:02,Feeding a group? A sandwich platter keeps the meeting moving—and ends the 'what should we order?' thread.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,28.03.22 08:32,What is the one topping you never skip? We will start: pickles.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,28.03.22 09:02,A sunny lunch break can reset an entire afternoon. Ten minutes outside still counts,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28.03.22 08:32,Today's hardest decision: put the playlist on shuffle or replay the same song again.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28.03.22 09:03,Rewatching your comfort show is still a plan. No notes.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28.03.22 08:33,Toasted or not toasted? One choice changes the whole sandwich. Tell us your usual order.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,28.03.22 09:03,Feeding a group? A sandwich platter keeps the meeting moving—and ends the 'what should we order?' thread.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/subway_catering_platter.png,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28.03.22 08:33,What is the one topping you never skip? We will start: pickles.,,,0,0,0,Subway,SUBWAY,Made-to-order sandwiches for every kind of craving.,https://pbs.twimg.com/profile_images/2090528162891374592/VfsebV8x_400x400.jpg,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
